ID,Genus,Species,Copy,Status,Outgroup,PreWGD,PostWGD,ScreeningID,Screened,Gene_name,CompAUC
Ashbya_aceri_1,Ashbya,aceri,1,Non-WGD,0.104442,0.15671,0.167131,HRR25_63.1,No,0,
Candida_bracarensis_1,Candida,bracarensis,1,Post-WGD_lost,0.129511,0.077243,0.066822,HRR25_29.1,No,0,
Candida_castellii_1,Candida,castellii,1,Post-WGD_lost,0.181502,0.129234,0.118813,HRR25_32.1,No,0,
Candida_castellii_2,Candida,castellii,2,Post-WGD_lost,0.244786,0.192518,0.182097,HRR25_32.2,No,0,
Candida_glabrata_1,Candida,glabrata,1,Post-WGD_lost,0.108748,0.05648,0.046059,HRR25_30.1,Yes,CAGL0H03553g,0.824121011
Candida_nivariensis_1,Candida,nivariensis,1,Post-WGD_lost,0.129794,0.077526,0.067105,HRR25_27.1,No,0,
Eremothecium_coryli_1,Eremothecium,coryli,1,Non-WGD,0.094117,0.146385,0.156806,HRR25_67.1,No,0,
Eremothecium_cymbalariae_1,Eremothecium,cymbalariae,1,Non-WGD,0.093958,0.146226,0.156647,HRR25_65.1,No,0,
Eremothecium_gossypii_1,Eremothecium,gossypii,1,Non-WGD,0.106452,0.15872,0.169141,HRR25_64.1,No,0,
Eremothecium_sinecaudum_1,Eremothecium,sinecaudum,1,Non-WGD,0.095509,0.147777,0.158198,HRR25_66.1,No,0,
Kazachstania_africana_KAFR0C02290,Kazachstania,africana,KAFR0C02290,Post-WGD_m,0.251196,0.198928,0.188507,HRR25_16.1,Yes,KAFR0C02290,0.911559638
Kazachstania_africana_KAFR0K00320,Kazachstania,africana,KAFR0K00320,Post-WGD_m,0.262306,0.210038,0.199617,HRR25_16.2,Yes,KAFR0K00320,0.849131167
Kazachstania_bromeliacearum_1,Kazachstania,bromeliacearum,1,Post-WGD_m,0.251002,0.198734,0.188313,HRR25_09.1,No,0,
Kazachstania_bromeliacearum_2,Kazachstania,bromeliacearum,2,Post-WGD_m,0.235849,0.183581,0.17316,HRR25_09.2,No,0,
Kazachstania_intestinalis_1,Kazachstania,intestinalis,1,Post-WGD_m,0.137371,0.085103,0.074682,HRR25_10.1,No,0,
Kazachstania_intestinalis_2,Kazachstania,intestinalis,2,Post-WGD_m,0.304776,0.252508,0.242087,HRR25_10.2,No,0,
Kazachstania_kunashirensis_1,Kazachstania,kunashirensis,1,Post-WGD_m,0.22347,0.171202,0.160781,HRR25_13.1,No,0,
Kazachstania_kunashirensis_2,Kazachstania,kunashirensis,2,Post-WGD_m,0.237114,0.184846,0.174425,HRR25_13.2,No,0,
Kazachstania_martiniae_1,Kazachstania,martiniae,1,Post-WGD_m,0.25564,0.203372,0.192951,HRR25_11.1,No,0,
Kazachstania_martiniae_2,Kazachstania,martiniae,2,Post-WGD_m,0.232585,0.180317,0.169896,HRR25_11.2,No,0,
Kazachstania_naganishii_KNAG0D01130,Kazachstania,naganishii,KNAG0D01130,Post-WGD_m,0.147625,0.095357,0.084936,HRR25_08.1,Yes,KNAG0D01130,0.908487441
Kazachstania_naganishii_KNAG0F01980,Kazachstania,naganishii,KNAG0F01980,Post-WGD_m,0.137999,0.085731,0.07531,HRR25_08.2,Yes,KNAG0F01980,0.930307812
Kazachstania_rosinii_1,Kazachstania,rosinii,1,Post-WGD_m,0.118878,0.06661,0.056189,HRR25_14.1,No,0,
Kazachstania_rosinii_2,Kazachstania,rosinii,2,Post-WGD_m,0.119194,0.066926,0.056505,HRR25_14.2,No,0,
Kazachstania_spencerorum_1,Kazachstania,spencerorum,1,Post-WGD_m,0.237048,0.18478,0.174359,HRR25_15.1,No,0,
Kazachstania_spencerorum_2,Kazachstania,spencerorum,2,Post-WGD_m,0.210277,0.158009,0.147588,HRR25_15.2,No,0,
Kazachstania_transvaalensis_1,Kazachstania,transvaalensis,1,Post-WGD_m,0.249406,0.197138,0.186717,HRR25_05.1,No,0,
Kazachstania_transvaalensis_2,Kazachstania,transvaalensis,2,Post-WGD_m,0.277456,0.225188,0.214767,HRR25_05.2,No,0,
Kazachstania_turicensis_1,Kazachstania,turicensis,1,Post-WGD_m,0.243255,0.190987,0.180566,HRR25_12.1,No,0,
Kazachstania_turicensis_2,Kazachstania,turicensis,2,Post-WGD_m,0.252705,0.200437,0.190016,HRR25_12.2,No,0,
Kazachstania_viticola_1,Kazachstania,viticola,1,Post-WGD_m,0.272647,0.220379,0.209958,HRR25_17.1,No,0,
Kazachstania_viticola_2,Kazachstania,viticola,2,Post-WGD_m,0.238683,0.186415,0.175994,HRR25_17.2,No,0,
Kazachstania_yakushimaensis_1,Kazachstania,yakushimaensis,1,Post-WGD_m,0.263683,0.211415,0.200994,HRR25_06.1,No,0,
Kazachstania_yakushimaensis_2,Kazachstania,yakushimaensis,2,Post-WGD_m,0.25054,0.198272,0.187851,HRR25_06.2,No,0,
Kluyveromyces_aestuarii_1,Kluyveromyces,aestuarii,1,Non-WGD,0.087709,0.139977,0.150398,HRR25_71.1,No,0,
Kluyveromyces_dobzhanskii_1,Kluyveromyces,dobzhanskii,1,Non-WGD,0.07893,0.131198,0.141619,HRR25_69.1,No,0,
Kluyveromyces_lactis_1,Kluyveromyces,lactis,1,Non-WGD,0.084907,0.137175,0.147596,HRR25_68.1,No,0,
Kluyveromyces_marxianus_1,Kluyveromyces,marxianus,1,Non-WGD,0.082163,0.134431,0.144852,HRR25_70.1,No,0,
Lachancea_cidri_1,Lachancea,cidri,1,Non-WGD,0.026394,0.078662,0.089083,HRR25_60.1,No,0,
Lachancea_dasiensis_1,Lachancea,dasiensis,1,Non-WGD,0.027545,0.079813,0.090234,HRR25_54.1,No,0,
Lachancea_fantastica_nom_nud_1,Lachancea,fantastica,nom,Non-WGD,0.025883,0.078151,0.088572,HRR25_51.1,No,0,
Lachancea_fermentati_1,Lachancea,fermentati,1,Non-WGD,0.024832,0.0771,0.087521,HRR25_61.1,No,0,
Lachancea_kluyveri_1,Lachancea,kluyveri,1,Non-WGD,0.027188,0.079456,0.089877,HRR25_62.1,No,0,
Lachancea_lanzarotensis_1,Lachancea,lanzarotensis,1,Non-WGD,0.027868,0.080136,0.090557,HRR25_52.1,No,0,
Lachancea_meyersii_1,Lachancea,meyersii,1,Non-WGD,0.024644,0.076912,0.087333,HRR25_53.1,No,0,
Lachancea_mirantina_1,Lachancea,mirantina,1,Non-WGD,0.022189,0.074457,0.084878,HRR25_59.1,No,0,
Lachancea_nothofagi_1,Lachancea,nothofagi,1,Non-WGD,0.026561,0.078829,0.08925,HRR25_55.1,No,0,
Lachancea_quebecensis_1,Lachancea,quebecensis,1,Non-WGD,0.026513,0.078781,0.089202,HRR25_56.1,No,0,
Lachancea_thermotolerans_1,Lachancea,thermotolerans,1,Non-WGD,0.023824,0.076092,0.086513,HRR25_57.1,No,0,
Lachancea_waltii_1,Lachancea,waltii,1,Non-WGD,0.01775,0.070018,0.080439,HRR25_58.1,No,0,
Nakaseomyces_bacillisporus_1,Nakaseomyces,bacillisporus,1,Post-WGD_m,0.110984,0.058716,0.048295,HRR25_31.1,No,0,
