,Genome,Contig,q_start,q_end,Subject,s_start,s_end,strand
0,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8105,9496,Lachancea_fermentati_LAFE_0C04588G,1392,1,-1
1,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8320,9496,Lachancea_lanzarotensis_LALA0_S05e05996g,1177,1,-1
2,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8320,9496,Lachancea_meyersii_LAME_0B04214G,1177,1,-1
3,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8244,9496,Lachancea_nothofagi_LANO_0E04126G,1244,1,-1
4,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8329,9496,Lachancea_quebecensis_LAQU0_S08e03994g,1171,1,-1
5,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8325,9496,Lachancea_mirantina_LAMI_0G10330G,1184,1,-1
6,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8320,9496,Lachancea_thermotolerans_KLTH0H04158g,1180,1,-1
7,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8343,9496,Saccharomyces_paradoxus_CP020257.1_cds_QHS76536.1_1,1178,1,-1
8,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8322,9496,Lachancea_dasiensis_LADA_0H10132G,1175,1,-1
9,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8341,9496,Saccharomyces_eubayanus_DI49_5263,1177,1,-1
10,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8341,9496,Saccharomyces_pastorianus_GRS66_010945,1177,1,-1
11,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8337,9496,Naumovozyma_castellii_NCAS_0D03820,1151,1,-1
12,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8345,9496,Saccharomyces##kudriavzevii_SKDZ_16G0730,1176,1,-1
13,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8581,9496,Zygosaccharomyces_rouxii_ZYRO0G08866g,916,1,-1
14,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8417,9496,Kluyveromyces_lactis_KLLA0_D03168g,1071,1,-1
15,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8346,9496,Saccharomyces_uvarum_SUVC_16G0780,1172,1,-1
16,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8346,9496,Saccharomyces_bayanus_var.uvarum_Suva_16.102,1172,1,-1
17,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8343,9496,Saccharomyces##mikatae_SMKI_06G3130,1178,1,-1
18,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8588,9496,Tetrapisispora_phaffii_TPHA_0E02830,909,1,-1
19,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8589,9496,Eremothecium_gossypii_AGOS_AFL091W,908,1,-1
20,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8587,9496,Nakaseomyces_glabratus_CAGL0H03553g,910,1,-1
21,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8341,9496,Saccharomyces_pastorianus_GRS66_005211,1180,1,-1
22,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8587,9496,Kazachstania_barnettii_KABA2_04S02882,910,1,-1
23,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8341,9496,Saccharomyces_cerevisiae_YPL204W,1180,1,-1
24,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8588,9496,Naumovozyma_dairenensis_NDAI_0I01070,909,1,-1
25,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8589,9496,Torulaspora_delbrueckii_TDEL_0E05230,908,1,-1
26,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8466,9496,Kluyveromyces_marxianus_KLMA_10641_Corrected_start_codon,1022,1,-1
27,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,8589,9496,Eremothecium_cymbalariae_Ecym_2202,908,1,-1
28,tetrapisispora_phaffii.fas,NC_016524.1,591805,593364,Tetrapisispora_phaffii_TPHA_0E02830,1,1560,1
