,Genome,Contig,start,end,strand
0,GCA_030569995.1_ASM3056999v1_genomic.fna,JAJLUF010000032.1,7608,10929,-1
1,tetrapisispora_phaffii.fas,NC_016524.1,591794,593861,1
2,tetrapisispora_phaffii.fas,NC_016529.1,523131,526411,-1
3,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406874,408773,1
4,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055570,40886,42200,1
5,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23638,25522,1
6,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055638,188113,189427,1
7,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,132807,140652,-1
8,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,525468,529006,-1
9,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65826,67812,1
10,yHMPu5000034862_zygotorulaspora_florentina_160519.fas,NODE_2_length_1190564_cov_24.2002_ID_3,853001,856485,-1
11,yHMPu5000026152_torulaspora_franciscae_160519.fas,flattened_line_14,340153,343601,-1
12,yHAB153_kazachstania_rosinii_160519.fas,scf7180000099302,-499,1257,-1
13,yHAB153_kazachstania_rosinii_160519.fas,scf7180000099711,556627,560184,-1
14,yHAB154_kazachstania_transvaalensis_160519.fas,NODE_3_length_418519_cov_21.3746_ID_5,35150,38150,-1
15,yHAB154_kazachstania_transvaalensis_160519.fas,NODE_3_length_418519_cov_21.3746_ID_5,135900,138900,-1
16,yHAB154_kazachstania_transvaalensis_160519.fas,NODE_4_length_390199_cov_21.2824_ID_7,156959,159987,-1
17,yHAB154_kazachstania_transvaalensis_160519.fas,NODE_11_length_225874_cov_21.0548_ID_21,180478,182348,-1
18,GCF_001548555.1_ASM154855v1_genomic.fna,NC_030896.1,825680,829548,-1
19,GCA_900074725.1_LADA0_genomic.fna,LT598461.1,906512,910014,-1
20,GCF_000292725.1_SacArb1.0_genomic.fna,NC_026186.1,145320,147312,1
21,yHMPu5000034709_kluyveromyces_aestuarii_160519.fas,NODE_5_length_653240_cov_27.0146_ID_9,357229,360629,-1
22,yHAB132_kazachstania_martiniae_160519.fas,scf7180000030439,35838,39136,-1
23,yHAB132_kazachstania_martiniae_160519.fas,scf7180000030492,32622,36136,-1
24,GCA_030556345.1_ASM3055634v1_genomic.fna,JAKTPW010000006.1,414625,418007,-1
25,GCA_030556345.1_ASM3055634v1_genomic.fna,JAKTPW010000008.1,123635,125324,1
26,ashbya_aceri.fas,CP006025.1,441314,443255,1
27,GCA_949129075.1_ZBA_7846_DN_genomic.fna,CASBRX010000001.1,1498819,1502273,-1
28,yHAB147_kazachstania_taianensis_160519.fas,NODE_12_length_288332_cov_50.4411_ID_23,166264,168220,1
29,yHMPu5000034875_tetrapisispora_fleetii_160519.fas,NODE_6_length_561264_cov_45.5856_ID_11,478321,481601,-1
30,yHMPu5000034875_tetrapisispora_fleetii_160519.fas,NODE_14_length_380648_cov_45.9046_ID_27,275234,277262,1
31,GCF_000091025.4_ASM9102v4_genomic.fna,NC_005787.5,273851,275795,1
32,yHAB134_kazachstania_turicensis_160519.fas,scf7180000049501,8941,11021,-1
33,yHAB134_kazachstania_turicensis_160519.fas,scf7180000049564,52664,54710,1
34,yHAB134_kazachstania_turicensis_160519.fas,scf7180000049590,251197,254483,-1
